Date,Description,Withdrawals,Deposits,Category,Balance
11/21/2021,CITGO PS FOOD MART DUNDEEDUNDEE MI,$49.25 ,,Auto + Gas,
11/21/2021,MCDONALD'S F30549         BEAVERDAM OH,$3.56 ,,Restaurants,
11/20/2021,TST* BARRIO - EAST LANSINEAST LANSING MI,$75.98 ,,Restaurants,
11/19/2021,ONLINE CREDIT CARD PMT 11/19 XXXX2419,,$107.04 ,ATM,
11/19/2021,SUNOCO 0446234700         PISGAH OH,$51.18 ,,Auto + Gas,
11/18/2021,WHOLEFDS MSO 10340        MASON OH,$30.46 ,,Groceries,
11/16/2021,Steam Purchase            425-9522985 WA,$63.89 ,,Entertainment,
11/16/2021,STARBUCKS 800-782-7282    800-782-7282 WA,$8.00 ,,Restaurants,
11/16/2021,CENTRAL CAFE              CINCINNATI OH,$7.70 ,,Restaurants,
11/15/2021,ONLINE CREDIT CARD PMT 11/15 XXXX2419,,$39.12 ,ATM,
11/15/2021,KROGER #448               MASON OH,$13.46 ,,Groceries,
11/13/2021,UNITED DAIRY FARMERS #143MASON OH,$13.99 ,,Auto + Gas,
11/13/2021,WAL-MART #1441            MASON OH,$6.92 ,,Groceries,
11/13/2021,STARBUCKS 800-782-7282    800-782-7282 WA,$3.95 ,,Restaurants,
11/12/2021,ABC*CRUNCH FITNESS7680    888-8279262 OH,$10.69 ,,Entertainment,
11/12/2021,CENTRAL CAFE              CINCINNATI OH,$5.99 ,,Restaurants,
11/11/2021,ONLINE CREDIT CARD PMT 11/11 XXXX2419,,$61.98 ,ATM,
11/11/2021,WENDYS 2428               281-201-2700 OH,$5.53 ,,Restaurants,
11/9/2021,ONLINE CREDIT CARD PMT 11/09 XXXX2419,,$62.13 ,ATM,
11/9/2021,SLIM CHICKENS 11101       CINCINNATI OH,$8.63 ,,Restaurants,
11/9/2021,CENTRAL CAFE              CINCINNATI OH,$4.99 ,,Restaurants,
11/9/2021,CENTRAL CAFE              CINCINNATI OH,$1.05 ,,Restaurants,
11/8/2021,KROGER #448               MASON OH,$23.49 ,,Groceries,
11/7/2021,SHELL OIL 10012358007     KALIDA OH,$29.86 ,,Auto + Gas,
11/6/2021,ONLINE CREDIT CARD PMT 11/06 XXXX2419,,$53.63 ,ATM,
11/6/2021,MERIDIAN WINDS            OKEMOS MI,$34.98 ,,Entertainment,
11/6/2021,MEIJER # 147              877-363-4537 OH,,$15.96 ,Groceries,
11/6/2021,CHICK-FIL-A #03695        OKEMOS MI,$12.70 ,,Restaurants,
11/6/2021,CHICK-FIL-A #03695        OKEMOS MI,$7.46 ,,Restaurants,
11/6/2021,STARBUCKS 800-782-7282    800-782-7282 WA,$3.45 ,,Restaurants,
11/5/2021,ONLINE CREDIT CARD PMT 11/05 XXXX2419,,$58.72 ,ATM,
11/5/2021,UNIV CINTI CCM BOX OFFICECINCINNATI OH,$19.50 ,,Education,
11/4/2021,KROGER FUEL #4448         MASON OH,$53.63 ,,Auto + Gas,
11/3/2021,KROGER #448               MASON OH,$28.21 ,,Groceries,
11/3/2021,MEIJER # 147              877-363-4537 OH,,$10.64 ,Groceries,
11/3/2021,MEIJER # 147              877-363-4537 OH,,$7.65 ,Groceries,
11/2/2021,PARTY CITY BOPIS          800-727-8924 NJ,,$53.23 ,Electronics + Merchandise,
11/2/2021,CENTRAL CAFE              CINCINNATI OH,$5.99 ,,Restaurants,
11/2/2021,CHICK-FIL-A #02486        513-770-3445 OH,$3.59 ,,Restaurants,
11/1/2021,ONLINE CREDIT CARD PMT 11/01 XXXX2419,,$275.59 ,ATM,
11/1/2021,CHIPOTLE ONLINE           CHIPOTLE.COM CA,$5.50 ,,Restaurants,
